TOWN,ZIP_CODE,NO_BEDROOMS,BTH_DESC,SQUARE_FEET,YEAR_BUILT,GARAGE_SPACES_CC,SALE_PRICE
"Boston, MA",2110,2,2f 0h,1668,1868,0,1830000.00
"Boston, MA",2118,2,2f 0h,1234,1899,0,1420000.00
"Boston, MA",2119,3,2f 1h,1300,2024,0,825000.00
"Boston, MA",2110,2,2f 0h,1405,2023,1,2775000.00
"Boston, MA",2110,2,2f 1h,1667,2023,1,3745000.00
"Boston, MA",2118,2,1f 0h,1002,1899,0,422968.00
"Boston, MA",2129,2,2f 0h,946,1880,0,925000.00
"Boston, MA",2210,2,2f 0h,1057,2019,2,1699000.00
"Boston, MA",2127,2,1f 0h,604,1905,0,545000.00
"Boston, MA",2127,1,1f 0h,749,1910,0,685000.00
"Boston, MA",2128,3,3f 1h,1660,2024,1,1000000.00
"Boston, MA",2215,0,1f 0h,340,1920,0,380000.00
"Boston, MA",2109,1,1f 0h,908,1850,0,690000.00
"Boston, MA",2114,2,2f 0h,1264,1900,0,1375000.00
"Boston, MA",2128,2,2f 0h,1146,2024,0,675000.00
"Boston, MA",2111,3,2f 1h,2036,2000,1,2400000.00
"Boston, MA",2130,3,2f 0h,1148,1905,0,880000.00
"Boston, MA",2135,1,1f 0h,721,2018,1,600000.00
"Boston, MA",2130,2,1f 0h,910,1905,0,500000.00
"Boston, MA",2128,2,2f 0h,955,1880,0,639500.00
"Boston, MA",2115,1,1f 0h,400,1976,0,470000.00
"Boston, MA",2118,3,2f 0h,1330,1860,0,1040000.00
"Boston, MA",2199,2,2f 1h,1589,2007,1,1902000.00
"Boston, MA",2128,2,2f 0h,742,1900,0,547000.00
"Boston, MA",2127,3,3f 1h,1771,2016,0,1450000.00
"Boston, MA",2129,2,1f 0h,1274,1908,0,1200000.00
"Boston, MA",2128,1,1f 0h,631,2024,0,512500.00
"Boston, MA",2130,2,1f 0h,1285,1920,0,675000.00
"Boston, MA",2130,1,2f 0h,1254,1987,1,700000.00
"Boston, MA",2127,2,1f 0h,881,1899,0,749000.00
"Boston, MA",2129,2,2f 0h,1722,1930,0,1325000.00
"Boston, MA",2116,2,2f 0h,1210,1890,0,1461000.00
"Boston, MA",2127,2,2f 0h,1067,1899,0,900000.00
"Boston, MA",2116,2,2f 0h,1196,1960,1,2000000.00
"Boston, MA",2130,3,2f 0h,1699,1895,0,1175000.00
"Boston, MA",2130,2,1f 0h,863,1920,0,635000.00
"Boston, MA",2116,2,1f 1h,1153,1900,0,850000.00
"Boston, MA",2118,1,1f 0h,819,2011,1,665000.00
"Boston, MA",2135,2,1f 0h,767,1910,0,500000.00
"Boston, MA",2130,2,1f 0h,1061,1900,0,582545.00
"Boston, MA",2127,2,1f 1h,1039,1905,0,779000.00
"Boston, MA",2111,1,1f 0h,620,1989,1,650000.00
"Boston, MA",2127,2,1f 1h,993,1905,0,815000.00
"Boston, MA",2115,3,2f 0h,1248,1890,0,1625000.00
"Boston, MA",2127,2,2f 0h,847,1900,2,847000.00
"Boston, MA",2129,2,1f 1h,939,2024,0,920000.00
"Boston, MA",2115,3,3f 1h,3422,1899,2,8400000.00
"Boston, MA",2116,2,2f 0h,1578,1924,1,1800000.00
"Boston, MA",2109,3,2f 0h,1354,1910,0,1300000.00
"Boston, MA",2111,1,1f 0h,740,1967,1,789000.00
"Boston, MA",2135,3,2f 0h,1053,1960,0,580000.00
"Boston, MA",2135,2,2f 1h,1264,2015,2,965000.00
"Boston, MA",2109,2,1f 0h,778,1850,0,650000.00
"Boston, MA",2114,1,1f 0h,805,1967,0,460000.00
"Boston, MA",2116,2,1f 1h,1059,1880,0,1295000.00
"Boston, MA",2129,2,1f 1h,933,1900,0,599000.00
"Boston, MA",2210,1,1f 0h,754,1899,0,800000.00
"Boston, MA",2130,2,1f 0h,915,1905,0,601000.00
"Boston, MA",2135,3,2f 0h,1050,1963,0,615000.00
"Boston, MA",2135,1,1f 0h,585,1920,0,425000.00
"Boston, MA",2130,2,1f 0h,820,1920,0,450000.00
"Boston, MA",2118,2,1f 0h,762,1890,0,1090000.00
"Boston, MA",2127,2,1f 0h,714,1939,0,529000.00
"Boston, MA",2116,3,2f 0h,1074,1900,0,1465000.00
"Boston, MA",2118,3,2f 1h,1440,1890,0,1765000.00
"Boston, MA",2210,2,2f 1h,1419,2020,2,2995000.00
"Boston, MA",2128,3,2f 0h,1132,1920,0,745000.00
